TimeGenerated,URLS,HashType
5/19/2020 14:55,coronavirus-update[.]topnewsregion[.]com,Malware
5/20/2020 14:55,hxxps://www[.]coronavirus-update[.]topnewsregion[.]com/,Malware
5/21/2020 14:55,www[.]covid19[.]nishatshashi[.]me,Malware
5/22/2020 14:55,hxxps://www[.]covid19[.]nishatshashi[.]me/,Malware
5/23/2020 14:55,www[.]covid19[.]syedrakesh[.]me,Malware
5/24/2020 14:55,hxxps://www[.]covid19[.]syedrakesh[.]me/,Malware
5/25/2020 14:55,www[.]n95mask-covid19[.]com,Malware
5/26/2020 14:55,hxxps://www[.]n95mask-covid19[.]com/,Malware
5/27/2020 14:55,coronaviruslive[.]es,Malware
5/28/2020 14:55,hxxps://coronaviruslive[.]es/,Malware
5/29/2020 14:55,coronavirus[.]test[.]fr,Malware
5/30/2020 14:55,hxxps://coronavirus[.]test[.]fr/,Malware
5/31/2020 14:55,nccovid19[.]app,Malware
6/1/2020 14:55,hxxps://nccovid19[.]app/,Malware
6/2/2020 14:55,www[.]covid19[.]spicy-dev[.]com,Malware
6/3/2020 14:55,hxxps://www[.]covid19[.]spicy-dev[.]com/,Malware
6/4/2020 14:55,covid19takip[.]com,Malware
6/5/2020 14:55,hxxps://covid19takip[.]com/,Malware
6/6/2020 14:55,plataforma-afectados-coronavirus[.]com,Malware
6/7/2020 14:55,hxxps://www[.]plataforma-afectados-coronavirus[.]com/,Malware
6/8/2020 14:55,www[.]covid19assam[.]info,Malware
6/9/2020 14:55,hxxps://covid19assam[.]info/,Malware
6/10/2020 14:55,hxxps://plataforma-afectados-coronavirus[.]com/,Malware
6/11/2020 14:55,www[.]fundraiserforcovid19[.]com,Malware
6/12/2020 14:55,hxxps://www[.]fundraiserforcovid19[.]com/,Malware
6/13/2020 14:55,hxxps://coronavirusphishing[.]com[.]admin-us[.]cas[.]ms/,Malware
6/14/2020 14:55,covid19[.]newsandinfos[.]com,Malware
6/15/2020 14:55,hxxps://www[.]covid19[.]newsandinfos[.]com/,Malware
6/16/2020 14:55,coronavirusfilms[.]org,Malware
6/17/2020 14:55,hxxps://coronavirusfilms[.]org/,Malware
6/18/2020 14:55,hxxps://coronavirusdentalmarketing[.]com/,Malware
6/19/2020 14:55,hxxps://pro-coronavirus[.]net/,Malware
6/20/2020 14:55,coronavirusdentalmarketing[.]com,Malware
6/21/2020 14:55,hxxps://www[.]coronavirusdentalmarketing[.]com/,Malware
6/22/2020 14:55,pro-coronavirus[.]net,Malware
6/23/2020 14:55,hxxps://www[.]pro-coronavirus[.]net/,Malware
6/24/2020 14:55,www[.]netcovid19[.]net,Malware
6/25/2020 14:55,hxxps://www[.]netcovid19[.]net/,Malware
6/26/2020 14:55,coronavirusandsyria[.]com,Malware
6/27/2020 14:55,hxxps://www[.]coronavirusandsyria[.]com/,Malware
6/28/2020 14:55,covid19yahoraque[.]com,Malware
6/29/2020 14:55,hxxps://covid19yahoraque[.]com/,Malware
6/30/2020 14:55,www[.]coronavirusinfotracker[.]it,Malware
7/1/2020 14:55,hxxps://coronavirusinfotracker[.]it/,Malware
7/2/2020 14:55,coronavirus-simulation[.]com,Malware
7/3/2020 14:55,hxxps://coronavirus-simulation[.]com/,Malware
7/4/2020 14:55,covid19rionegrinho[.]com[.]br,Malware
7/5/2020 14:55,hxxps://covid19rionegrinho[.]com[.]br/,Malware
7/6/2020 14:55,secure[.]covid19reliefcenter[.]org,Malware
7/7/2020 14:55,hxxps://www[.]secure[.]covid19reliefcenter[.]org/,Malware
7/8/2020 14:55,hxxps://coronavirusapparel[.]org/,Malware
7/9/2020 14:55,coronavirusapparel[.]org,Malware
7/10/2020 14:55,hxxps://www[.]coronavirusapparel[.]org/,Malware
7/11/2020 14:55,covid19[.]digicraft[.]id,Malware
7/12/2020 14:55,hxxps://covid19[.]digicraft[.]id/,Malware
7/13/2020 14:55,www[.]covid19stop[.]cz,Malware
7/14/2020 14:55,hxxps://www[.]covid19stop[.]cz/,Malware
7/15/2020 14:55,www[.]coronavirus-api[.]ru,Malware
7/16/2020 14:55,hxxps://www[.]coronavirus-api[.]ru/,Malware
7/17/2020 14:55,hxxps://coronavirus-argentina[.]com/,Malware
7/18/2020 14:55,covid19worldreport[.]com,Malware
7/19/2020 14:55,hxxps://www[.]covid19worldreport[.]com/,Malware
7/20/2020 14:55,hxxps://sirius[.]coronaviruskongress[.]de/,Malware
7/21/2020 14:55,www[.]stopcovid19-maski[.]ru,Malware
7/22/2020 14:55,hxxps://www[.]stopcovid19-maski[.]ru/,Malware
7/23/2020 14:55,coronaviruscontact[.]com[.]m2design[.]pro,Malware
7/24/2020 14:55,hxxps://www[.]coronaviruscontact[.]com[.]m2design[.]pro/,Malware
7/25/2020 14:55,www[.]covid19[.]wapangola[.]net,Malware
7/26/2020 14:55,hxxps://www[.]covid19[.]wapangola[.]net/,Malware
7/27/2020 14:55,www[.]covid19-madrid[.]com,Malware
7/28/2020 14:55,hxxps://www[.]covid19-madrid[.]com/,Malware
7/29/2020 14:55,hxxps://klick[.]coronaviruskongress[.]de/,Malware
7/30/2020 14:55,hxxps://stopcovid19[.]link/,Malware
7/31/2020 14:55,covid19news[.]plrprofits4u[.]com,Malware
8/1/2020 14:55,hxxps://www[.]covid19news[.]plrprofits4u[.]com/,Malware
8/2/2020 14:55,www[.]coronavirusmex[.]org,Malware
8/3/2020 14:55,hxxps://www[.]coronavirusmex[.]org/,Malware
8/4/2020 14:55,www[.]coronavirusdailytips[.]com,Malware
8/5/2020 14:55,hxxps://www[.]coronavirusdailytips[.]com/,Malware
8/6/2020 14:55,covid19[.]actstar[.]pro,Malware
8/7/2020 14:55,hxxps://covid19[.]actstar[.]pro/,Malware
8/8/2020 14:55,covid19[.]accubits[.]com,Malware
8/9/2020 14:55,hxxps://covid19[.]accubits[.]com/,Malware
8/10/2020 14:55,www[.]covid19[.]codeforiraq[.]org,Malware
8/11/2020 14:55,hxxps://www[.]covid19[.]codeforiraq[.]org/,Malware
8/12/2020 14:55,covid19[.]bhishma[.]guru,Malware
8/13/2020 14:55,hxxps://covid19[.]bhishma[.]guru/,Malware
8/14/2020 14:55,www[.]coronavirus-words[.]com,Malware
8/15/2020 14:55,hxxps://www[.]coronavirus-words[.]com/,Malware
8/16/2020 14:55,coronavirusmaskonline[.]com,Malware
8/17/2020 14:55,hxxps://www[.]coronavirusmaskonline[.]com/,Malware
8/18/2020 14:55,covid19[.]dmmreviews[.]com,Malware
8/19/2020 14:55,hxxps://www[.]covid19[.]dmmreviews[.]com/,Malware
8/20/2020 14:55,app[.]coronavirusmakers[.]org,Malware
8/21/2020 14:55,hxxps://app[.]coronavirusmakers[.]org/,Malware
8/22/2020 14:55,covid19[.]clinicovery[.]com,Malware
8/23/2020 14:55,hxxps://covid19[.]clinicovery[.]com/,Malware
8/24/2020 14:55,www[.]covid19[.]softronikx[.]info,Malware
8/25/2020 14:55,hxxps://www[.]covid19[.]softronikx[.]info/,Malware
8/26/2020 14:55,covid19[.]jackprior[.]org,Malware
8/27/2020 14:55,hxxps://www[.]covid19[.]jackprior[.]org/,Malware
8/28/2020 14:55,coronavirus-novosti[.]online,Malware
8/29/2020 14:55,hxxps://www[.]coronavirus-novosti[.]online/,Malware
8/30/2020 14:55,hxxps://www[.]covid19math[.]net/,Malware
8/31/2020 14:55,coronavirus-lechenie[.]ru,Malware
9/1/2020 14:55,hxxps://www[.]coronavirus-lechenie[.]ru/,Malware
9/2/2020 14:55,www[.]covid19[.]ariful[.]net,Malware
9/3/2020 14:55,hxxps://www[.]covid19[.]ariful[.]net/,Malware
9/4/2020 14:55,covid19[.]pushing70[.]com,Malware
9/5/2020 14:55,hxxps://covid19[.]pushing70[.]com/,Malware
9/6/2020 14:55,www[.]coronavirus[.]paracosma[.]com,Malware
9/7/2020 14:55,hxxps://www[.]coronavirus[.]paracosma[.]com/,Malware
9/8/2020 14:55,corona-virus-covid19[.]ru,Malware
9/9/2020 14:55,hxxps://www[.]corona-virus-covid19[.]ru/,Malware
9/10/2020 14:55,cameroonhelpcovid19[.]com,Malware
9/11/2020 14:55,hxxps://www[.]cameroonhelpcovid19[.]com/,Malware
9/12/2020 14:55,covid19life[.]co[.]uk,Malware
9/13/2020 14:55,hxxps://covid19life[.]co[.]uk/,Malware
9/14/2020 14:55,covid19-stage[.]westcode[.]se,Malware
9/15/2020 14:55,hxxps://covid19-stage[.]westcode[.]se/,Malware
9/16/2020 14:55,qrcovid19[.]com,Malware
9/17/2020 14:55,hxxps://qrcovid19[.]com/,Malware
9/18/2020 14:55,www[.]pencegahancovid19poldapb[.]com,Malware
9/19/2020 14:55,hxxps://www[.]pencegahancovid19poldapb[.]com/,Malware
9/20/2020 14:55,www[.]covid19aid[.]it,Malware
9/21/2020 14:55,hxxps://www[.]covid19aid[.]it/,Malware
9/22/2020 14:55,www[.]vs-coronavirus[.]com,Malware
9/23/2020 14:55,hxxps://www[.]vs-coronavirus[.]com/,Malware
9/24/2020 14:55,757covid19strong[.]com,Malware
9/25/2020 14:55,hxxps://www[.]757covid19strong[.]com/,Malware
9/26/2020 14:55,www[.]covid19-update[.]site,Malware
9/27/2020 14:55,hxxps://www[.]covid19-update[.]site/,Malware
9/28/2020 14:55,devcovid19mg[.]madatsara[.]com,Malware
9/29/2020 14:55,hxxps://devcovid19mg[.]madatsara[.]com/,Malware
9/30/2020 14:55,www[.]covid19[.]digitalmarketingpath[.]com,Malware
10/1/2020 14:55,hxxps://www[.]covid19[.]digitalmarketingpath[.]com/,Malware
10/2/2020 14:55,covid19organisation[.]com,Malware
10/3/2020 14:55,hxxps://www[.]covid19organisation[.]com/,Malware
10/4/2020 14:55,covid19communityservices[.]org,Malware
10/5/2020 14:55,hxxps://www[.]covid19communityservices[.]org/,Malware
10/6/2020 14:55,www[.]covid19[.]danielbreuss[.]com,Malware
10/7/2020 14:55,hxxps://www[.]covid19[.]danielbreuss[.]com/,Malware
10/8/2020 14:55,covid19[.]rajbohra[.]com,Malware
10/9/2020 14:55,hxxps://covid19[.]rajbohra[.]com/,Malware
10/10/2020 14:55,hxxps://coronavirushukuku[.]com/,Malware
10/11/2020 14:55,www[.]coronavirus-india-map[.]com,Malware
10/12/2020 14:55,coronavirus-v-krasnodare[.]ru,Malware
10/13/2020 14:55,hxxps://www[.]coronavirus-v-krasnodare[.]ru/,Malware
10/14/2020 14:55,hxxps://www[.]coronavirus-india-map[.]com/,Malware
10/15/2020 14:55,covid19-mask[.]net,Malware
10/16/2020 14:55,hxxps://covid19-mask[.]net/,Malware
10/17/2020 14:55,covid19inglobal[.]com,Malware
10/18/2020 14:55,hxxps://covid19inglobal[.]com/,Malware
10/19/2020 14:55,mafcovid19resourcefinder[.]org,Malware
10/20/2020 14:55,hxxps://mafcovid19resourcefinder[.]org/,Malware
10/21/2020 14:55,www[.]volunteers[.]dddcovid19[.]in,Malware
10/22/2020 14:55,hxxps://www[.]volunteers[.]dddcovid19[.]in/,Malware
10/23/2020 14:55,covid19[.]merauke[.]go[.]id,Malware
10/24/2020 14:55,hxxps://covid19[.]merauke[.]go[.]id/,Malware
10/25/2020 14:55,sgcovid19[.]com,Malware
10/26/2020 14:55,hxxps://sgcovid19[.]com/,Malware
10/27/2020 14:55,cdn[.]covid19hardtruth[.]com,Malware
10/28/2020 14:55,hxxps://cdn[.]covid19hardtruth[.]com/,Malware
10/29/2020 14:55,www[.]covid19-projection[.]com,Malware
10/30/2020 14:55,hxxps://www[.]covid19-projection[.]com/,Malware
10/31/2020 14:55,www[.]map-covid19[.]ru,Malware
11/1/2020 14:55,hxxps://www[.]map-covid19[.]ru/,Malware
11/2/2020 14:55,www[.]coronavirus-realtime[.]ru,Malware
11/3/2020 14:55,hxxps://www[.]coronavirus-realtime[.]ru/,Malware
11/4/2020 14:55,hxxps://www[.]anti-covid19[.]us/,Malware
11/5/2020 14:55,cekcovid19[.]tk,Malware
11/6/2020 14:55,hxxps://cekcovid19[.]tk/,Malware
11/7/2020 14:55,coronavirusonline[.]one,Malware
11/8/2020 14:55,hxxps://coronavirusonline[.]one/,Malware
11/9/2020 14:55,coronavirus[.]mallcenter[.]club,Malware
11/10/2020 14:55,hxxps://www[.]coronavirus[.]mallcenter[.]club/,Malware
11/11/2020 14:55,www[.]coronavirus-facemask[.]com,Malware
11/12/2020 14:55,hxxps://www[.]coronavirus-facemask[.]com/,Malware
11/13/2020 14:55,www[.]materielcovid19[.]ch,Malware
11/14/2020 14:55,hxxps://www[.]materielcovid19[.]ch/,Malware
11/15/2020 14:55,hxxps://anti-covid19[.]us/,Malware
11/16/2020 14:55,covid19hardtruth[.]com,Malware
11/17/2020 14:55,hxxps://www[.]covid19hardtruth[.]com/,Malware
11/18/2020 14:55,knowcovid19[.]hiskillsacademy[.]com,Malware
11/19/2020 14:55,hxxps://www[.]knowcovid19[.]hiskillsacademy[.]com/,Malware
11/20/2020 14:55,coronavirus[.]carioca[.]build,Malware
11/21/2020 14:55,hxxps://coronavirus[.]carioca[.]build/,Malware
11/22/2020 14:55,www[.]vidacarecovid19[.]com[.]br,Malware
11/23/2020 14:55,hxxps://vidacarecovid19[.]com[.]br/,Malware
11/24/2020 14:55,covid19[.]fewpage[.]co[.]za,Malware
11/25/2020 14:55,hxxps://www[.]covid19[.]fewpage[.]co[.]za/,Malware
11/26/2020 14:55,www[.]coronavirus-epidemic[.]com,Malware
11/27/2020 14:55,hxxps://www[.]coronavirus-epidemic[.]com/,Malware
11/28/2020 14:55,www[.]covid19-viewer[.]info-aid[.]net,Malware
11/29/2020 14:55,hxxps://www[.]covid19-viewer[.]info-aid[.]net/,Malware
11/30/2020 14:55,coronavirus-sejchas[.]ru,Malware
12/1/2020 14:55,hxxps://coronavirus-sejchas[.]ru/,Malware
12/2/2020 14:55,covid19graph[.]work,Malware
12/3/2020 14:55,hxxps://coronavirus[.]cms[.]am/,Malware
12/4/2020 14:55,covid19[.]goldentime[.]pk,Malware
12/5/2020 14:55,hxxps://covid19[.]goldentime[.]pk/,Malware
12/6/2020 14:55,covid19-protecting-screening-rehousing[.]com,Malware
12/7/2020 14:55,hxxps://www[.]covid19-protecting-screening-rehousing[.]com/,Malware
12/8/2020 14:55,covid19[.]ozsmartweb[.]com,Malware
12/9/2020 14:55,hxxps://www[.]covid19[.]ozsmartweb[.]com/,Malware
12/10/2020 14:55,www[.]covid19india[.]fingersfun[.]com,Malware
12/11/2020 14:55,hxxps://www[.]covid19india[.]fingersfun[.]com/,Malware
12/12/2020 14:55,www[.]cekcovid19[.]tk,Malware
12/13/2020 14:55,hxxps://www[.]cekcovid19[.]tk/,Malware
12/14/2020 14:55,hxxps://covid19stats[.]805newsrelay[.]net/,Malware
12/15/2020 14:55,hxxps://covid19maps[.]805newsrelay[.]net/,Malware
12/16/2020 14:55,www[.]covid19respiratorydezinfekcia[.]com,Malware
12/17/2020 14:55,hxxps://www[.]covid19respiratorydezinfekcia[.]com/,Malware
12/18/2020 14:55,hxxps://www[.]defeat-covid19[.]com/,Malware
12/19/2020 14:55,hxxps://coronavirusisolation[.]org/,Malware
12/20/2020 14:55,arcgis-covid19[.]com,Malware
12/21/2020 14:55,hxxps://arcgis-covid19[.]com/,Malware
12/22/2020 14:55,defeat-covid19[.]com,Malware
12/23/2020 14:55,hxxps://defeat-covid19[.]com/,Malware
12/24/2020 14:55,covid19[.]qa[.]yields[.]io,Malware
12/25/2020 14:55,hxxps://covid19[.]qa[.]yields[.]io/,Malware
12/26/2020 14:55,covid19[.]yields[.]io,Malware
12/27/2020 14:55,hxxps://covid19[.]yields[.]io/,Malware
12/28/2020 14:55,www[.]coronavirus[.]usaitco[.]org,Malware
12/29/2020 14:55,hxxps://www[.]coronavirus[.]usaitco[.]org/,Malware
12/30/2020 14:55,status[.]covid19[.]westcode[.]se,Malware
12/31/2020 14:55,hxxps://status[.]covid19[.]westcode[.]se/,Malware
1/1/2021 14:55,hxxps://www[.]covid19risknumber[.]com/,Malware
1/2/2021 14:55,covid19studies[.]org,Malware
1/3/2021 14:55,hxxps://covid19studies[.]org/,Malware
1/4/2021 14:55,australiancovid19socialistsolutions[.]com,Malware
1/5/2021 14:55,hxxps://www[.]australiancovid19socialistsolutions[.]com/,Malware
1/6/2021 14:55,scotia-covid19[.]com,Malware
1/7/2021 14:55,covidgradshirts[.]com,Malware
1/8/2021 14:55,coronawreslter[.]com,Malware
1/9/2021 14:55,coronadisruptions[.]com,Malware
1/10/2021 14:55,covididibaubau[.]com,Malware
1/11/2021 14:55,quarantinecomfort[.]co[.]uk,Malware
1/12/2021 14:55,covidexhibition[.]com,Malware
1/13/2021 14:55,nocovid19[.]website,Malware
1/14/2021 14:55,quarantinestudiola[.]com,Malware
1/15/2021 14:55,covidvirtualtesting[.]org,Malware
1/16/2021 14:55,coronaconfess[.]com,Malware
1/17/2021 14:55,covideventsafety[.]info,Malware
1/18/2021 14:55,covidrd[.]live,Malware
1/19/2021 14:55,covidcasuality[.]com,Malware
1/20/2021 14:55,coronabooth[.]com,Malware
1/21/2021 14:55,corona-transgender[.]com,Malware
1/22/2021 14:55,covidwrestler[.]com,Malware
1/23/2021 14:55,covidgatheringsafely[.]info,Malware
1/24/2021 14:55,covidgatheringssafety[.]info,Malware
1/25/2021 14:55,covidsafetyglass[.]com,Malware
1/26/2021 14:55,mascaracovid[.]info,Malware
1/27/2021 14:55,xn--soscoronavrus-5ib[.]com,Malware
1/28/2021 14:55,coronaconfessional[.]org,Malware
1/29/2021 14:55,thequarantinechill[.]com,Malware
1/30/2021 14:55,covid19-edf[.]com,Malware
1/31/2021 14:55,praycovidaway[.]info,Malware
2/1/2021 14:55,covidcontrolcr[.]com,Malware
2/2/2021 14:55,covid19kid[.]org,Malware
2/3/2021 14:55,shouldiprotestduringcovid[.]com,Malware
2/4/2021 14:55,covid20[.]club,Malware
2/5/2021 14:55,covid19kids[.]net,Malware
2/6/2021 14:55,quarantine-support[.]services,Malware
2/7/2021 14:55,covid19hygienesafetyplan[.]info,Malware
2/8/2021 14:55,c0ronav1rus[.]com,Malware
2/9/2021 14:55,covid-19safetyplan[.]info,Malware
2/10/2021 14:55,covid19free-zone[.]info,Malware
2/11/2021 14:55,covidmeetingsafely[.]info,Malware
2/12/2021 14:55,covid19kids[.]org,Malware
2/13/2021 14:55,covid19safetyplan[.]info,Malware
2/14/2021 14:55,covid-19solutions[.]biz,Malware
2/15/2021 14:55,covid-19hygienesafetyplan[.]info,Malware
2/16/2021 14:55,worldaftercovid19[.]co[.]in,Malware
2/17/2021 14:55,quarantinequeencovid19[.]art,Malware
2/18/2021 14:55,covidpk[.]uno,Malware
2/19/2021 14:55,covidmeetingsafety[.]info,Malware
2/20/2021 14:55,covid19workplaceplan[.]info,Malware
2/21/2021 14:55,neucoronavirus[.]com,Malware
2/22/2021 14:55,uscovidnumbers[.]com,Malware
2/23/2021 14:55,covidep[.]xyz,Malware
2/24/2021 14:55,covid-19hygieneplan[.]info,Malware
2/25/2021 14:55,oregonstatecoronavirus[.]com,Malware
2/26/2021 14:55,nocovidmask[.]it,Malware
2/27/2021 14:55,livecovidfreestore[.]com,Malware
2/28/2021 14:55,covidep[.]online,Malware
3/1/2021 14:55,covid-19workplaceplan[.]info,Malware
3/2/2021 14:55,gocoronabusters[.]com,Malware
3/3/2021 14:55,2fba972dc6737cc78e654ad87886108b466433b6955d05f6cd9514ec5e962afa,Malware
3/4/2021 14:55,hxxp://googleccovid19[.]com/,Malware
3/5/2021 14:55,hxxp://xmysecure2-facebookcovid19petition[.]ga/,Malware
3/6/2021 14:55,hxxp://googlecovid91[.]com/,Malware
3/7/2021 14:55,hxxp://netlfix-covid19[.]com/,Malware
3/8/2021 14:55,hxxp://googlecovid[.]com/,Malware
3/9/2021 14:55,hxxps://www[.]coronavirusprevention[.]online/,Malware
3/10/2021 14:55,covid19[.]clorismen[.]net,Malware
3/11/2021 14:55,hxxps://www[.]covid19[.]clorismen[.]net/,Malware
3/12/2021 14:55,covid19[.]rahmadarif[.]xyz,Malware
3/13/2021 14:55,hxxps://covid19[.]rahmadarif[.]xyz/,Malware
3/14/2021 14:55,covid19supplies[.]in,Malware
3/15/2021 14:55,hxxps://covid19supplies[.]in/,Malware
3/16/2021 14:55,covid19[.]ambyars[.]com,Malware
3/17/2021 14:55,hxxps://www[.]covid19[.]ambyars[.]com/,Malware
3/18/2021 14:55,www[.]coronavirusprotect[.]com,Malware
3/19/2021 14:55,hxxps://www[.]coronavirusprotect[.]com/,Malware
3/20/2021 14:55,pravda-o-coronaviruse[.]ru,Malware
3/21/2021 14:55,hxxps://www[.]pravda-o-coronaviruse[.]ru/,Malware
3/22/2021 14:55,covid19[.]squeezetea[.]com,Malware
3/23/2021 14:55,hxxps://www[.]covid19[.]squeezetea[.]com/,Malware
3/24/2021 14:55,www[.]covid19-attestation[.]flanord-nziengui[.]com,Malware
3/25/2021 14:55,hxxps://www[.]covid19-attestation[.]flanord-nziengui[.]com/,Malware
3/26/2021 14:55,aplikasi-covid19[.]sultengprov[.]online,Malware
3/27/2021 14:55,hxxps://aplikasi-covid19[.]sultengprov[.]online/,Malware
3/28/2021 14:55,www[.]association-coronavirus[.]fr,Malware
3/29/2021 14:55,hxxps://www[.]association-coronavirus[.]fr/,Malware
3/30/2021 14:55,kittoolstestcovid19[.]com,Malware
3/31/2021 14:55,hxxps://www[.]kittoolstestcovid19[.]com/,Malware
4/1/2021 14:55,covid19worldometers[.]com,Malware
4/2/2021 14:55,hxxps://covid19worldometers[.]com/,Malware
4/3/2021 14:55,hxxps://www[.]covid19-news[.]jp/,Malware
4/4/2021 14:55,covid19-news[.]jp,Malware
4/5/2021 14:55,hxxps://covid19-news[.]jp/,Malware
4/6/2021 14:55,coronavirus19[.]center,Malware
4/7/2021 14:55,hxxps://coronavirus19[.]center/,Malware
4/8/2021 14:55,hxxps://www[.]covid19ware[.]com/,Malware
4/9/2021 14:55,covid19ware[.]com,Malware
4/10/2021 14:55,hxxps://covid19ware[.]com/,Malware
4/11/2021 14:55,hxxps://www[.]coronavirus-today[.]com/,Malware
4/12/2021 14:55,info-coronavirus[.]robe-materiel-medical[.]com,Malware
4/13/2021 14:55,hxxps://info-coronavirus[.]robe-materiel-medical[.]com/,Malware
4/14/2021 14:55,covid19[.]clinip[.]fr,Malware
4/15/2021 14:55,hxxps://covid19[.]clinip[.]fr/,Malware
4/16/2021 14:55,hxxps://www[.]coronavirus-online[.]ru/,Malware
4/17/2021 14:55,www[.]covid19[.]nccis[.]org,Malware
4/18/2021 14:55,hxxps://www[.]covid19[.]nccis[.]org/,Malware
4/19/2021 14:55,covid19[.]nikonote[.]com,Malware
4/20/2021 14:55,hxxps://covid19[.]nikonote[.]com/,Malware
4/21/2021 14:55,www[.]aprendecovid19[.]com,Malware
4/22/2021 14:55,hxxps://www[.]aprendecovid19[.]com/,Malware
4/23/2021 14:55,coronavirusperu[.]online,Malware
4/24/2021 14:55,hxxps://www[.]coronavirusperu[.]online/,Malware
4/25/2021 14:55,www[.]karantin-covid19[.]online,Malware
4/26/2021 14:55,hxxps://www[.]karantin-covid19[.]online/,Malware
4/27/2021 14:55,covid19coronavirusstatus[.]com,Malware
4/28/2021 14:55,hxxps://covid19coronavirusstatus[.]com/,Malware
4/29/2021 14:55,www[.]karantin-covid19[.]ru,Malware
4/30/2021 14:55,hxxps://www[.]karantin-covid19[.]ru/,Malware
5/1/2021 14:55,www[.]covid19-isolation[.]mikstyx[.]co[.]uk,Malware
5/2/2021 14:55,hxxps://www[.]covid19-isolation[.]mikstyx[.]co[.]uk/,Malware
5/3/2021 14:55,hxxps://covid19-testing[.]us/,Malware
5/4/2021 14:55,covid19-fitness[.]micstura[.]com,Malware
5/5/2021 14:55,hxxps://covid19-fitness[.]micstura[.]com/,Malware
5/6/2021 14:55,www[.]covid19prcc[.]org,Malware
5/7/2021 14:55,hxxps://www[.]covid19prcc[.]org/,Malware
5/8/2021 14:55,hxxps://worldcoronavirusupdate[.]info/,Malware
5/9/2021 14:55,covid19[.]spatialitics[.]com,Malware
5/10/2021 14:55,hxxps://covid19[.]spatialitics[.]com/,Malware
5/11/2021 14:55,worldcoronavirusupdate[.]info,Malware
5/12/2021 14:55,hxxps://www[.]worldcoronavirusupdate[.]info/,Malware
5/13/2021 14:55,covid19-travel[.]micstura[.]com,Malware
5/14/2021 14:55,hxxps://covid19-travel[.]micstura[.]com/,Malware
5/15/2021 14:55,covid19-tea[.]micstura[.]com,Malware
5/16/2021 14:55,hxxps://covid19-tea[.]micstura[.]com/,Malware
5/17/2021 14:55,covid19-hispanics[.]micstura[.]com,Malware
